id,raceId,driverId,constructorId,year,round,circuitId,lat,lng,alt,track_length_km,number_of_turns,grid,driver_age,driver_nationality_code,constructor_nationality_code,q1_ms,q2_ms,q3_ms,best_qual_ms,pit_stop_count,avg_pit_ms,rolling_avg_position,career_wins_so_far,prev_championship_points,prev_championship_position,prev_constructor_points,finishing_position
833_579,833,579,51,1950,1,9,52.13126,-1.01516,153,4.81,12,3,38.88569472963724,2,23,,,,,,,,0.0,0.0,0.0,0.0,12
833_642,833,642,51,1950,1,9,52.13126,-1.01516,153,4.81,12,1,43.53456536618754,25,23,,,,,,,,0.0,0.0,0.0,0.0,1
833_686,833,686,51,1950,1,9,52.13126,-1.01516,153,4.81,12,4,38.86379192334018,9,23,,,,,,,,0.0,0.0,0.0,0.0,3
833_786,833,786,51,1950,1,9,52.13126,-1.01516,153,4.81,12,2,51.9233401779603,25,23,,,,,,,,0.0,0.0,0.0,0.0,2
833_589,833,589,105,1950,1,9,52.13126,-1.01516,153,4.81,12,11,50.77344284736482,30,14,,,,,,,,0.0,0.0,0.0,0.0,18
833_640,833,640,105,1950,1,9,52.13126,-1.01516,153,4.81,12,8,35.98631074606434,39,14,,,,,,,,0.0,0.0,0.0,0.0,17
833_669,833,669,105,1950,1,9,52.13126,-1.01516,153,4.81,12,5,35.827515400410675,40,14,,,,,,,,0.0,0.0,0.0,0.0,14
833_747,833,747,105,1950,1,9,52.13126,-1.01516,153,4.81,12,18,40.37234770704997,9,14,,,,,,,,0.0,0.0,0.0,0.0,15
833_778,833,778,105,1950,1,9,52.13126,-1.01516,153,4.81,12,20,35.28815879534565,9,14,,,,,,,,0.0,0.0,0.0,0.0,10
833_784,833,784,105,1950,1,9,52.13126,-1.01516,153,4.81,12,16,32.369609856262834,9,14,,,,,,,,0.0,0.0,0.0,0.0,9
833_788,833,788,105,1950,1,9,52.13126,-1.01516,153,4.81,12,20,34.54620123203286,9,14,,,,,,,,0.0,0.0,0.0,0.0,10
833_776,833,776,126,1950,1,9,52.13126,-1.01516,153,4.81,12,19,37.16632443531827,24,5,,,,,,,,0.0,0.0,0.0,0.0,13
833_785,833,785,126,1950,1,9,52.13126,-1.01516,153,4.81,12,17,29.00479123887748,9,5,,,,,,,,0.0,0.0,0.0,0.0,16
833_619,833,619,151,1950,1,9,52.13126,-1.01516,153,4.81,12,13,36.31211498973306,9,5,,,,,,,,0.0,0.0,0.0,0.0,6
833_661,833,661,151,1950,1,9,52.13126,-1.01516,153,4.81,12,10,37.596167008898014,9,5,,,,,,,,0.0,0.0,0.0,0.0,20
833_666,833,666,151,1950,1,9,52.13126,-1.01516,153,4.81,12,10,31.5728952772074,9,5,,,,,,,,0.0,0.0,0.0,0.0,20
833_787,833,787,151,1950,1,9,52.13126,-1.01516,153,4.81,12,15,43.85215605749487,9,5,,,,,,,,0.0,0.0,0.0,0.0,7
833_790,833,790,151,1950,1,9,52.13126,-1.01516,153,4.81,12,12,38.1409993155373,9,5,,,,,,,,0.0,0.0,0.0,0.0,21
833_627,833,627,154,1950,1,9,52.13126,-1.01516,153,4.81,12,9,44.51745379876797,19,9,,,,,,,,0.0,0.0,0.0,0.0,5
833_660,833,660,154,1950,1,9,52.13126,-1.01516,153,4.81,12,21,33.752224503764545,7,9,,,,,,,,0.0,0.0,0.0,0.0,11
833_704,833,704,154,1950,1,9,52.13126,-1.01516,153,4.81,12,6,45.59342915811088,19,9,,,,,,,,0.0,0.0,0.0,0.0,4
833_741,833,741,154,1950,1,9,52.13126,-1.01516,153,4.81,12,14,53.36892539356605,19,9,,,,,,,,0.0,0.0,0.0,0.0,8
833_789,833,789,154,1950,1,9,52.13126,-1.01516,153,4.81,12,7,35.13757700205339,19,9,,,,,,,,0.0,0.0,0.0,0.0,19
834_633,834,633,6,1950,2,6,43.58425,7.40801,7,6.83,17,6,41.01300479123888,25,14,,,,,,,,0.0,0.0,0.0,0.0,8
834_647,834,647,6,1950,2,6,43.58425,7.40801,7,6.83,17,7,31.854893908282,25,14,,,,,,,,0.0,0.0,0.0,0.0,2
834_687,834,687,6,1950,2,6,43.58425,7.40801,7,6.83,17,21,35.520876112251884,9,14,,,,,,,,0.0,0.0,0.0,0.0,20
834_793,834,793,6,1950,2,6,43.58425,7.40801,7,6.83,17,9,43.72073921971253,19,14,,,,,,,,0.0,0.0,0.0,0.0,4
834_579,834,579,51,1950,2,6,43.58425,7.40801,7,6.83,17,1,38.90759753593429,2,23,,,,,,,12.0,0.0,0.0,13.0,0.0,1
834_642,834,642,51,1950,2,6,43.58425,7.40801,7,6.83,17,2,43.5564681724846,25,23,,,,,,,1.0,1.0,8.7,1.0,0.0,11
834_786,834,786,51,1950,2,6,43.58425,7.40801,7,6.83,17,5,51.94524298425736,25,23,,,,,,,2.0,0.0,6.1,2.0,0.0,12
834_501,834,501,87,1950,2,6,43.58425,7.40801,7,6.83,17,20,28.892539356605067,0,5,,,,,,,,0.0,0.0,0.0,0.0,19
834_498,834,498,105,1950,2,6,43.58425,7.40801,7,6.83,17,3,27.6249144421629,2,14,,,,,,,,0.0,0.0,0.0,0.0,10
834_589,834,589,105,1950,2,6,43.58425,7.40801,7,6.83,17,8,50.79534565366188,30,14,,,,,,,18.0,0.0,0.0,19.0,0.0,3
834_640,834,640,105,1950,2,6,43.58425,7.40801,7,6.83,17,12,36.0082135523614,39,14,,,,,,,17.0,0.0,0.0,18.0,0.0,15
834_669,834,669,105,1950,2,6,43.58425,7.40801,7,6.83,17,15,35.84941820670773,40,14,,,,,,,14.0,0.0,0.0,15.0,0.0,5
834_762,834,762,105,1950,2,6,43.58425,7.40801,7,6.83,17,17,41.95756331279945,25,14,,,,,,,,0.0,0.0,0.0,0.0,18
834_792,834,792,105,1950,2,6,43.58425,7.40801,7,6.83,17,18,37.57973990417522,2,14,,,,,,,,0.0,0.0,0.0,0.0,21
834_427,834,427,141,1950,2,6,43.58425,7.40801,7,6.83,17,13,32.55578370978782,19,9,,,,,,,,0.0,0.0,0.0,0.0,16
834_626,834,626,141,1950,2,6,43.58425,7.40801,7,6.83,17,11,33.106091718001366,19,9,,,,,,,,0.0,0.0,0.0,0.0,14
834_619,834,619,151,1950,2,6,43.58425,7.40801,7,6.83,17,16,36.33401779603012,9,5,,,,,,,6.0,0.0,0.0,6.0,0.0,6
834_787,834,787,151,1950,2,6,43.58425,7.40801,7,6.83,17,14,43.87405886379192,9,5,,,,,,,7.0,0.0,0.0,7.0,0.0,17
834_627,834,627,154,1950,2,6,43.58425,7.40801,7,6.83,17,10,44.539356605065024,19,9,,,,,,,5.0,0.0,2.0,5.0,0.0,13
834_660,834,660,154,1950,2,6,43.58425,7.40801,7,6.83,17,19,33.7741273100616,7,9,,,,,,,11.0,0.0,0.0,12.0,0.0,7
834_741,834,741,154,1950,2,6,43.58425,7.40801,7,6.83,17,4,53.39082819986311,19,9,,,,,,,8.0,0.0,0.0,8.0,0.0,9
